epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.6547,1.85923,4.33906,1.39003,0.32092,0.28945,0.27615,0.19197,1.11414,2.25316,1.02345,0.00010564,0.00010564,0.00010564
2,24.4592,1.16744,1.53461,1.02435,0.42564,0.56701,0.46212,0.26471,1.41419,3.26245,1.21813,0.000215767,0.000215767,0.000215767
3,36.2884,1.09989,1.14182,1.01618,0.53831,0.55861,0.56035,0.32383,1.37022,1.53402,1.21333,0.000324792,0.000324792,0.000324792
4,48.0258,1.05876,0.99518,1.01875,0.60151,0.27078,0.28717,0.19986,1.65262,2.33332,1.5911,0.000432717,0.000432717,0.000432717
5,59.6366,1.09056,0.98441,1.03499,0.61132,0.60657,0.59641,0.40381,1.15867,1.39368,1.17652,0.000539541,0.000539541,0.000539541
6,71.3894,1.08816,0.8951,1.03872,0.6101,0.44541,0.49312,0.3061,1.36317,1.86712,1.33035,0.000542239,0.000542239,0.000542239
7,83.086,1.05844,0.86598,1.05134,0.53737,0.54533,0.53793,0.35831,1.19925,1.44462,1.2494,0.000539487,0.000539487,0.000539487
8,94.7261,1.05277,0.81624,1.05285,0.55052,0.65671,0.65725,0.45479,1.09407,1.26557,1.17568,0.000536735,0.000536735,0.000536735
9,106.566,1.02232,0.78108,1.02668,0.57062,0.66297,0.66478,0.40349,1.33425,1.15667,1.26875,0.000533982,0.000533982,0.000533982
10,118.192,1.02741,0.76553,1.01614,0.63652,0.61583,0.66084,0.44893,1.12563,1.15847,1.18714,0.00053123,0.00053123,0.00053123
11,129.792,1.01727,0.73243,1.01509,0.64591,0.66914,0.70832,0.49966,1.06485,0.96012,1.14057,0.000528478,0.000528478,0.000528478
12,141.581,0.99776,0.71285,1.01252,0.64128,0.65545,0.68729,0.47555,1.06558,1.0776,1.15878,0.000525726,0.000525726,0.000525726
